@_	000008	/home/viviane/kartoffel/perl5/Mail/Header.pm
$self->{mail_hdr_foldlen};	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
/^(IGNORE|ERROR|COERCE|KEEP)$/	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
$modify)	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
Tags	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
[^"]{1,$max}	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
"$1\n	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
5);	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
internal	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
Licensed	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
see	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
$idx)	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
!defined	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
/^[	000004	/home/viviane/kartoffel/perl5/Mail/Header.pm
ref($call)	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
elsif($where	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
capitalization	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
this	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
first	000004	/home/viviane/kartoffel/perl5/Mail/Header.pm
s/(\A\s+|[\t	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
@del;	000004	/home/viviane/kartoffel/perl5/Mail/Header.pm
list	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
'2.21';	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
defined	000050	/home/viviane/kartoffel/perl5/Mail/Header.pm
$l;	000004	/home/viviane/kartoffel/perl5/Mail/Header.pm
$val	000008	/home/viviane/kartoffel/perl5/Mail/Header.pm
'From	000006	/home/viviane/kartoffel/perl5/Mail/Header.pm
ref	000006	/home/viviane/kartoffel/perl5/Mail/Header.pm
unshift	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
$where,	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
complete	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
idea,	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
[\,\;]	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
replace	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
modify	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
+{	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
@$arg	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
eq	000008	/home/viviane/kartoffel/perl5/Mail/Header.pm
unless	000006	/home/viviane/kartoffel/perl5/Mail/Header.pm
$call	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
ages,	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
Reply-To	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
Cc	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
file	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
or	000032	/home/viviane/kartoffel/perl5/Mail/Header.pm
{my	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
$self->{mail_hdr_hash}{$tag})	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
choice:	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
)	000012	/home/viviane/kartoffel/perl5/Mail/Header.pm
tables	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
starts	000004	/home/viviane/kartoffel/perl5/Mail/Header.pm
if($self->{mail_hdr_mail_from}	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
applications.	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
all	000004	/home/viviane/kartoffel/perl5/Mail/Header.pm
bias	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
Sender	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
To	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
$_	000004	/home/viviane/kartoffel/perl5/Mail/Header.pm
$deleted;	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
||	000026	/home/viviane/kartoffel/perl5/Mail/Header.pm
$self->{mail_hdr_hash}{$tag}	000010	/home/viviane/kartoffel/perl5/Mail/Header.pm
'$choice'";	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
Eh?	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
read	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
%$dup	000002	/home/viviane/kartoffel/perl5/Mail/Header.pm
